Category,Menu,Calories,Fat,Carb,Fiber,Protein
butterscotch,Smoked Butterscotch Frappuccino¨ Blended Beverage,300,12,44,0,3
butterscotch,Smoked Butterscotch Frappuccino¨ Blended Crème,270,13,35,0,4
butterscotch,Smoked Butterscotch Latte,350,14,45,0,12
butterscotch,Iced Smoked Butterscotch Latte,420,17,57,1,10
caramel,Caramel Frappuccino¨ Blended Coffee,300,11,47,0,3
caramel,Caramel Light Frappuccino¨ Blended Coffee,100,0,22,0,3
caramel,Iced Caramel Macchiato,230,6,34,0,10
caramel,Caramel Macchiato,240,7,34,0,10
chai,Chai Crème Frappuccino¨ Blended Crème,250,11,35,0,4
chai,Teavana¨ Oprah Cinnamon Chai Crème Frappuccino¨,240,11,33,0,3
chocolate,Double Chocolaty Chip Crème Frappuccino¨ Blended Crème,270,6,51,3,5
cinnamon,Cinnamon Dolce Frappuccino¨ Blended Coffee,350,4.5,64,0,15
cinnamon,Cinnamon Dolce Light Frappuccino¨ Blended Coffee,110,0,24,0,3
cinnamon,Iced Skinny Cinnamon Dolce Latte,60,0,9,0,6
cinnamon,Iced Cinnamon Dolce Latte,200,4,34,0,7
cinnamon,Cinnamon Dolce Latte,260,6,40,0,11
coffee,Coffee Frappuccino¨ Blended Coffee,240,3,50,0,3
coffee,Coffee Light Frappuccino¨ Blended Coffee,110,0,24,0,3
coffee,Espresso Frappuccino¨ Blended Coffee,160,1.5,34,0,4
coffee,Java Chip Frappuccino¨ Blended Coffee,340,13,51,2,4
coffee,Java Chip Light Frappuccino¨ Blended Coffee,150,3,29,2,4
coffee,Caffe Americano,10,0,2,0,1
coffee,Espresso,10,0,2,0,1
coffee,Espresso Macchiato ,15,0,2,0,1
coffee,Iced Caffe Americano,15,0,3,0,1
coffee,Starbucks¨ Doubleshot on Ice,30,0.5,4,0,2
coffee,Espresso Con Panna,35,2.5,3,0,1
coffee,Cappuccino,120,4,12,0,8
coffee,Iced Caffe Latte ,130,4.5,13,0,8
coffee,Flat White,180,7,18,0,12
coffee,Caffe Latte,190,7,18,0,12
coffee,Latte Macchiato,190,7,19,0,12
greentea,Green Tea Crème Frappuccino¨ Blended Crème,320,12,50,0,5
mocha,Mocha Frappuccino¨ Blended Coffee,280,2.5,60,2,4
mocha,Mocha Light Frappuccino¨ Blended Coffee,290,11,44,1,5
mocha,Iced Skinny Mocha,100,1.5,12,4,9
mocha,Skinny Mocha,140,1.5,18,4,14
mocha,Iced Caffe Mocha,230,6,36,4,9
mocha,Iced Milk Chocolate Melted Truffle Mocha,270,10,37,1,9
mocha,Caffe Mocha,290,8,42,4,13
mocha,Dark Chocolate Melted Truffle Mocha,330,13,41,2,13
mocha,Milk Chocolate Melted Truffle Mocha,330,12,42,1,13
strawberries,Strawberries & Crème Frappuccino¨ Blended Crème,270,11,40,0,3
vanilla,Caffe Vanilla Frappuccino¨ Blended Coffee,300,11,50,0,3
vanilla,Caffe Vanilla Light Frappuccino¨ Blended Coffee,180,0,40,0,3
vanilla,Vanilla Bean Crème Frappuccino¨ Blended Crème,280,11,41,0,4
vanilla,Iced Vanilla Latte,190,4,30,0,7
vanilla,Vanilla Latte,250,6,37,0,12
whitechocolate,White Chocolate Mocha Frappuccino¨ Blended Coffee,320,12,50,0,4
whitechocolate,Iced White Chocolate Mocha,330,9,54,0,10
whitechocolate,White Chocolate Mocha ,400,11,60,0,14
